MilestoneID,StudentID,CourseID,StudyWeek,TaskDescription,Deadline,Status
M001,S005,C201,Week 1-2,Review all lecture topic,2025-12-01,Not Started
M002,S005,C201,Week 3,Meeting with module lecturer,2025-12-15,In Progress
M003,S005,C201,Week 4,Take recovery exam,2025-12-30,Completed
M004,S003,C205,Week 1,Redo assignment draft,2025-03-08,Completed
M005,S003,C205,Week 2,Submit revised assignment,2025-03-15,Pending
M006,S010,C217,Week 1-2,Study recursion and complexity topics,2025-03-12,Pending
M007,S010,C217,Week 3,Attempt exam resit,2025-03-19,Pending
M008,S020,C220,Week 1,Review biology chapters 3â€“6,2025-03-05,Completed
M009,S020,C220,Week 2,Meet tutor for consultation,2025-03-12,Pending
M010,S063,C241,Week 1-3,Complete cybersecurity practice questions,2025-03-20,Pending
